City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
337,carupano,VE,10.6678,-63.2585,81.21,72,64,13.51
338,tete,MZ,-16.1564,33.5867,78.8,83,40,5.75
339,pathein,MM,16.7833,94.7333,76.17,81,9,7.34
340,port-gentil,GA,-0.7193,8.7815,84.2,79,40,12.66
341,ketchikan,US,55.3422,-131.6461,35.6,93,75,9.22
342,garlasco,IT,45.1974,8.9238,64.4,48,0,3.44
343,green river,US,41.5286,-109.4662,51.01,36,1,18.41
344,sitka,US,57.0531,-135.33,35.6,75,20,11.5
345,sutysky,UA,49.0425,28.4173,37.4,93,75,17.9
346,jacareacanga,BR,-6.2222,-57.7528,92.57,45,58,4.0
347,wanaka,NZ,-44.7,169.15,54.57,90,71,4.43
348,juegang,CN,32.3174,121.1855,55.2,83,0,3.76
349,anloga,GH,5.7947,0.8973,84.2,70,20,8.05
350,benjamin hill,MX,30.1667,-111.1,80.01,11,0,8.99
351,zhuanghe,CN,39.7008,122.9911,44.01,74,3,1.01
352,luganville,VU,-15.5333,167.1667,79.68,85,41,8.3
353,iquique,CL,-20.2208,-70.1431,71.6,60,0,11.5
354,batemans bay,AU,-35.7167,150.1833,55.99,94,75,3.0
355,sigulda,LV,57.1519,24.8647,42.01,70,66,5.01
356,littleton,US,39.6133,-105.0166,60.01,15,75,8.05
357,nogliki,RU,51.8333,143.1667,25.48,97,93,5.28
358,ternate,ID,0.8,127.4,77.11,91,100,9.46
359,sayyan,YE,15.1718,44.3244,59.52,21,13,9.69
360,atar,MR,20.5169,-13.0499,95.13,10,42,13.47
361,vanimo,PG,-2.6741,141.3028,76.32,89,95,5.06
362,chokwe,MZ,-24.5333,32.9833,70.27,77,30,6.44
363,kamenka,RU,51.3223,42.7678,34.0,73,96,9.89
364,forio,IT,40.7342,13.8646,60.01,72,0,8.99
365,las cruces,US,32.3123,-106.7783,64.4,29,1,6.91
366,beian,NO,63.6559,9.5683,46.4,61,75,14.97
367,khasan,RU,42.4308,130.6434,41.0,91,82,5.75
368,monterey,US,36.2505,-121.2516,64.99,54,0,1.99
369,la ronge,CA,55.1001,-105.2842,32.0,86,100,8.05
370,inhambane,MZ,-23.865,35.3833,77.0,73,20,9.22
371,kletskaya,RU,49.3145,43.0584,33.01,82,72,5.01
372,changli,CN,39.7042,119.1506,49.91,18,26,14.2
373,high level,CA,58.5169,-117.136,26.6,93,90,14.97
374,dyurtyuli,RU,55.4911,54.8688,19.56,93,6,4.43
375,roquetas de mar,ES,36.7642,-2.6148,66.99,55,0,18.41
376,maseru,LS,-29.3167,27.4833,59.11,45,50,2.48
377,nadaun,IN,31.7833,76.35,76.64,31,84,7.96
378,ino,JP,33.55,133.4333,51.76,83,2,5.75
379,indianola,US,41.3581,-93.5574,46.99,39,20,17.27
380,balassagyarmat,HU,48.073,19.2961,51.01,51,89,4.92
381,mantua,IT,45.1667,10.7833,62.6,48,0,3.44
382,hondo,JP,32.45,130.2,53.01,93,2,3.0
383,mitu,CO,1.1983,-70.1733,71.19,98,99,4.65
384,baiyin,CN,36.5583,104.2081,53.01,17,92,2.24
385,lat yao,TH,15.751,99.7893,84.0,71,80,4.85
386,vila velha,BR,-20.3297,-40.2925,89.6,55,20,11.5
387,neftegorsk,RU,52.802,51.166,32.85,96,100,15.23
388,arys,KZ,42.4252,68.795,48.2,76,40,6.71
389,gunjur,GM,13.2019,-16.7339,78.8,57,0,13.8
390,meulaboh,ID,4.1363,96.1285,77.47,86,95,3.15
391,nosy varika,MG,-20.5833,48.5333,78.1,84,13,1.52
392,tommot,RU,58.9564,126.2925,12.54,96,100,1.3
393,buka,UZ,40.8108,69.1986,50.0,76,90,11.5
394,talcahuano,CL,-36.7167,-73.1167,68.0,52,0,8.05
395,eureka,US,40.8021,-124.1637,48.0,100,90,4.61
396,sogne,NO,58.0833,7.8167,45.0,100,40,10.36
397,sumenep,ID,-7.0167,113.8667,79.48,82,98,0.76
398,half moon bay,US,37.4636,-122.4286,66.0,67,1,4.54
399,amot,NO,59.5714,7.9877,37.99,93,100,3.29
400,hofn,IS,64.2539,-15.2082,35.6,69,40,8.05
401,dengzhou,CN,37.8086,120.7508,45.52,62,67,11.1
402,panguna,PG,-6.3164,155.4848,67.3,95,33,2.66
403,melilla,ES,35.2937,-2.9383,60.8,88,75,11.5
404,brae,GB,60.3964,-1.353,46.4,71,0,20.71
405,abha,SA,18.2164,42.5053,66.2,67,0,6.91
406,tsumeb,NA,-19.2333,17.7167,75.2,57,52,3.44
407,uruzgan,AF,32.8333,66.0,63.18,11,0,18.7
408,erenhot,CN,43.6475,111.9767,34.29,26,14,9.04
409,gambela,ET,8.25,34.5833,84.31,42,96,5.66
410,valdosta,US,30.8327,-83.2785,82.4,51,20,10.36
411,canmore,CA,51.0834,-115.3521,50.0,60,51,6.91
412,kuminskiy,RU,58.6667,66.5667,26.98,86,88,9.82
413,kenai,US,60.5544,-151.2583,14.0,62,1,4.99
414,olinda,BR,-8.0089,-34.8553,82.4,65,40,8.05
415,kerema,PG,-7.9631,145.7785,78.51,87,96,5.39
416,worland,US,44.0169,-107.9554,60.8,20,1,8.05
417,kholtoson,RU,50.2981,103.3097,19.76,73,62,2.91
418,longkou,CN,37.6508,120.3286,45.1,66,68,9.53
